#Algoritmo: Algoritmo Simulated Annealing, Problema: Problema de HimmelBlau
tiempo,best_score,best_position_x,best_position_y
1.99,0.0147269,-2.7858, 3.13916
1.995,0.0147269,-2.7858, 3.13916
2,0.0147269,-2.7858, 3.13916
2.005,0.0147269,-2.7858, 3.13916
2.01,0.0147269,-2.7858, 3.13916
2.014,0.0147269,-2.7858, 3.13916
2.019,0.0147269,-2.7858, 3.13916
2.024,0.0147269,-2.7858, 3.13916
2.028,0.0147269,-2.7858, 3.13916
2.033,0.0147269,-2.7858, 3.13916
2.038,0.0147269,-2.7858, 3.13916
2.044,0.0147269,-2.7858, 3.13916
2.049,0.0147269,-2.7858, 3.13916
2.054,0.0147269,-2.7858, 3.13916
2.059,0.0147269,-2.7858, 3.13916
2.064,0.0147269,-2.7858, 3.13916
2.068,0.0147269,-2.7858, 3.13916
2.072,0.0147269,-2.7858, 3.13916
2.077,0.0147269,-2.7858, 3.13916
2.082,0.0147269,-2.7858, 3.13916
2.087,0.0147269,-2.7858, 3.13916
2.091,0.0147269,-2.7858, 3.13916
2.095,0.0147269,-2.7858, 3.13916
2.099,0.0147269,-2.7858, 3.13916
2.104,0.0147269,-2.7858, 3.13916
2.109,0.0147269,-2.7858, 3.13916
2.114,0.0147269,-2.7858, 3.13916
2.119,0.0147269,-2.7858, 3.13916
2.123,0.0147269,-2.7858, 3.13916
2.128,0.0147269,-2.7858, 3.13916
2.131,0.0147269,-2.7858, 3.13916
2.135,0.0147269,-2.7858, 3.13916
2.14,0.0147269,-2.7858, 3.13916
2.145,0.0147269,-2.7858, 3.13916
2.15,0.0147269,-2.7858, 3.13916
2.155,0.0147269,-2.7858, 3.13916
2.16,0.0147269,-2.7858, 3.13916
2.163,0.0147269,-2.7858, 3.13916
2.169,0.0147269,-2.7858, 3.13916
2.173,0.0147269,-2.7858, 3.13916
2.216,0.0147269,-2.7858, 3.13916
2.22,0.0147269,-2.7858, 3.13916
2.226,0.0147269,-2.7858, 3.13916
2.23,0.0147269,-2.7858, 3.13916
2.236,0.0147269,-2.7858, 3.13916
2.24,0.0147269,-2.7858, 3.13916
2.245,0.0147269,-2.7858, 3.13916
2.25,0.0147269,-2.7858, 3.13916
2.255,0.0147269,-2.7858, 3.13916
2.26,0.0147269,-2.7858, 3.13916
2.266,0.0147269,-2.7858, 3.13916
2.271,0.0147269,-2.7858, 3.13916
2.275,0.0147269,-2.7858, 3.13916
2.281,0.0147269,-2.7858, 3.13916
2.286,0.0147269,-2.7858, 3.13916
2.291,0.0147269,-2.7858, 3.13916
2.295,0.0147269,-2.7858, 3.13916
2.3,0.0147269,-2.7858, 3.13916
2.305,0.0147269,-2.7858, 3.13916
2.31,0.0147269,-2.7858, 3.13916
2.314,0.0147269,-2.7858, 3.13916
2.319,0.0147269,-2.7858, 3.13916
2.324,0.0147269,-2.7858, 3.13916
2.329,0.0147269,-2.7858, 3.13916
2.333,0.0147269,-2.7858, 3.13916
2.337,0.0147269,-2.7858, 3.13916
2.342,0.0147269,-2.7858, 3.13916
2.347,0.0147269,-2.7858, 3.13916
2.352,0.0147269,-2.7858, 3.13916
2.356,0.0147269,-2.7858, 3.13916
2.361,0.0147269,-2.7858, 3.13916
2.366,0.0147269,-2.7858, 3.13916
2.371,0.0147269,-2.7858, 3.13916
2.375,0.0147269,-2.7858, 3.13916
2.381,0.0147269,-2.7858, 3.13916
2.385,0.0147269,-2.7858, 3.13916
2.391,0.0147269,-2.7858, 3.13916
2.396,0.0147269,-2.7858, 3.13916
2.4,0.0147269,-2.7858, 3.13916
2.405,0.0147269,-2.7858, 3.13916
2.409,0.0147269,-2.7858, 3.13916
2.414,0.0147269,-2.7858, 3.13916
2.419,0.0147269,-2.7858, 3.13916
2.424,0.0147269,-2.7858, 3.13916
2.428,0.0147269,-2.7858, 3.13916
2.433,0.0147269,-2.7858, 3.13916
2.438,0.0147269,-2.7858, 3.13916
2.443,0.0147269,-2.7858, 3.13916
2.447,0.0147269,-2.7858, 3.13916
2.452,0.0147269,-2.7858, 3.13916
2.457,0.0147269,-2.7858, 3.13916
2.462,0.0147269,-2.7858, 3.13916
2.466,0.0147269,-2.7858, 3.13916
2.47,0.0147269,-2.7858, 3.13916
2.475,0.0147269,-2.7858, 3.13916
2.48,0.0147269,-2.7858, 3.13916
2.485,0.0147269,-2.7858, 3.13916
2.49,0.0147269,-2.7858, 3.13916
2.494,0.0147269,-2.7858, 3.13916
2.499,0.0147269,-2.7858, 3.13916
2.503,0.0147269,-2.7858, 3.13916
2.508,0.0147269,-2.7858, 3.13916
2.513,0.0147269,-2.7858, 3.13916
2.518,0.0147269,-2.7858, 3.13916
2.531,0.0147269,-2.7858, 3.13916
2.536,0.0147269,-2.7858, 3.13916
2.541,0.0147269,-2.7858, 3.13916
2.545,0.0147269,-2.7858, 3.13916
2.575,0.0147269,-2.7858, 3.13916
2.58,0.0147269,-2.7858, 3.13916
2.585,0.0147269,-2.7858, 3.13916
2.59,0.0147269,-2.7858, 3.13916
2.594,0.0147269,-2.7858, 3.13916
2.6,0.0147269,-2.7858, 3.13916
2.604,0.0147269,-2.7858, 3.13916
2.609,0.0147269,-2.7858, 3.13916
2.614,0.0147269,-2.7858, 3.13916
2.618,0.0147269,-2.7858, 3.13916
2.623,0.0147269,-2.7858, 3.13916
2.628,0.0147269,-2.7858, 3.13916
2.633,0.0147269,-2.7858, 3.13916
